原文	译文
战斗开始时，本队至多3名狙击手的伤害提升20%，持续5回合。	When battle starts, 3 Snipers allies at most can greatly increase damage, lasting for 5 rounds.
极大概率闪避每回合受到的第一次普通攻击。	High chance of dodging the first normal attack for each round.
每回合额外进行一次普通攻击，且当击杀一名敌人后，可立即进行一次额外的普攻。	Each round dealt one extra normal attack, and after killing one enemy, can immediately extra normal attack one time.
本队所有满血的船员造成的伤害大幅度提升。	All allies with full HP can greatly increase damage.
治疗本小队中生命最低的1个船员	Heal 1 ally who is in the lowest HP, and clear <font color="#00EC00">All Debuffs</font>.
对正面的敌人造成普通和技力伤害，并<font color="#00EC00">吸收</font>至多40点怒气，一定概率造成<font color="#00EC00">沉默</font>2回合。	Deal both normal and Skill Power DMG to enemy in front and <font color="#00EC00">absorb</font> 20 Fury most with chance to cast <font color="#00EC00">Silence</font> debuff for 2 rounds.
为我方全小队恢复生命值，并解除所有<font color="#00EC00">负面状态</font>。	Heal all allies and clear <font color="#00EC00">All Debuffs</font>.
对敌方全小队造成技力伤害，此技能可暴击。	Deal Skill Power damage to the whole enemy team, also with a chance for Crit. Hit.
复活选定的一个友军，并恢复少量生命。	Revive a selected defeated ally along with low HP.
战斗开始时，本队至多3名船医的伤害提升20%，持续5回合。	When battle starts, 3 Doctors allies at most can greatly increase damage, lasting for 5 rounds.
暴击时对目标造成晕眩效果，持续1回合。	With Critical Hit, one can cast <font color="#00EC00">Stun</font> debuff, lasting for one round.
战斗开始时，己方阵营至多9个女性船员增加一个基于自身防御的护盾。	When battle starts, 9 female allies at most can receive one <font color="#00EC00">Shield</font> which is equal to caster's DEF.
己方小队所有船员受到的治疗效果增加25%（效果可叠加）。	All allies can increase healing effect by 25% (effects can be stacked).
本小队船员进行普通攻击造成伤害的同时附带1回合中毒效果。	When allies use normal attack, deal both damage and <font color="#00EC00">Poison</font> debuff for 1 round..
战斗开始时，对敌方阵营至多6名男性船员施加束缚1回合。	When battle starts, one can <font color="#00EC00">Trap</font> 6 male enemies at most for 1 round.
海贼百科	Pirate Quiz
组队战役	Team Battles
海贼大战预选赛	Pirate Battle Preliminaries
海贼大战决赛	Pirate Battle Finals
伟大航路阵地战	Grand Line Warfare
海上寻宝	Treasure Search
海上掠夺	Treasure Plunder
Cipher Pol NO.9 来袭	Cipher Pol NO.9 Attacks
死亡海上竞赛	Death Match
顶上战争	Summit War
贝利|稀有道具	Beli|Rare Items
知名度|贝利	Fame|Beli
船员碎片|贝利	Crew Fragments|Beli
声望|海贼团贡献	Medal|Pirates Contri.
经验|贝利	EXP|Beli
贝利|海贼团贡献	Beli|Pirates Contri.
经验|稀有道具	EXP|Rare Items
荣誉|稀有道具	Honor|Rare Items
1.共有10道题目可供回答。<br />2.每道题目有30秒的回答时间。<br />3.10道题目全部回答完后，将根据回答正确的数量给予额外奖励。	1. There are 10 quesstions available.<br />2. Each question has 30 seconds to answer.<br />3. After completing the 10 questions, system give out bonus reward according to number of correct answers.
1.对奥兹造成的伤害越高，奖励越多。<br />2.活动结束后总伤害排名靠前的玩家将会获得额外奖励。	1. More damage dealt to Oars means more reward.<br />2. When the event ends, players with higher damage on the ranking list will receive bonus reward.
1.1~3人组队进行挑战。<br />2.敌人由多批部队组成，每获得1轮战斗胜利就将获得1份奖励。	1. Players form team of 1-3 people to challenge.<br />2. The enemies are many teams of monsters, winning 1 round will win 1 reward.
1.需由海贼团报名获得参赛资格后方可参战。<br />2.海贼团获胜则可获得500贡献和1000声望；失败也可获得300贡献和一定的声望（700+获胜战场数*100）。	1. Players need to register through Pirates Team to obtain qualification.<br />2. Pirates Team victory can obtain 500 Contribution and 1000 Medals; defeat can obtain 300 Contribution and set amount of Medals（700+Winning Rounds*100）.
1.决赛将在预选赛前8名的海贼团之间进行争夺。<br />2.决赛除了个人参赛奖励外还将获得额外奖励，最终排名越靠前的海贼团获得的奖励越好。	1. The top 8 teams of Preliminaries will join the Finals.<br />2. The Finals include not only individual participation reward and also bonus reward, higher ranking Pirates Team will obtain better reward.
1.击败阵地BOSS并守住BOSS的反击后即可占领阵地，占领阵地后可获得全服buff加成。<br />2.活动中造成的伤害越高，奖励越多。<br />3.击杀怪物可获得大量奖励。	1. Defeat the BOSS and defend against the BOSS counterattack to overtake the position, overtaking the position can obtain whole server buff bonus.<br />2. During the event, higher damages means more rewards.<br />3. Defeating the monsters to obtain abundant rewards.
1.需要先在海贼大厅中领取藏宝图。<br />2.需要由相同海贼团中领取了藏宝图（上）和藏宝图（下）的成员一起才能出海寻宝。<br />3.寻宝无次数限制，但前4次才有奖励。	1. Players have to receive Treasure Map at Pirates Hall firstly.<br />2. Only members from the same Pirates Team can receive Treasure Map (Part I) and Treasure Map (Part II) and set sail to search treasure at the sea.<br />3. Search times are unlimited, but only the first 4 times can receive treasure rewards.
1.只能向寻宝中的队伍发起掠夺，需要分别战胜两人后才能获得奖励。<br />2.掠夺成功可以获得寻宝奖励的50%，掠夺失败则没有奖励。	1. Players can plunder the teams in Treasure Search, yet have to defeat all opponents in the search process to win rewards.<br />2. Successful plunder can receive 50% of the treasure, while failure means no rewards.
1.活动期间CP9会出现在谢尔兹镇、西罗布村、可可亚西村、罗格镇、小花园，每5分钟刷出一波。<br />2.与CP9部队战斗胜利后将获得丰厚奖励，并且CP9会消失。	1. During event time, CP9 members appear at Shells Town, Syrup Village, Cocoyasi Village, Loguetown and Little Garden once every 5 mins. <br />2. After defeating CP9 members, you can claim abundant rewards. Then CP9 members will disappear.
1. 完成竞赛挑战即可获得对应奖励，胜利达到5场即可完成所有挑战。<br />2. 达成挑战的奖励会在活动结束后统一以邮件形式发送到玩家邮箱中。	1. Players will receive corresponding rewards after completing Challenged Matches. Successfully challenging 5 matches means players complete all matches.<br />2. Available rewards will be sent via email after the event ends.
1. 在战场中和敌对阵营的玩家进行1V1的战斗，战斗胜利可获得大量积分，且连胜数越高获得的积分越多。失败也可获得少量积分，具体数量和击败对手的船员数量有关。<br />2. 每个参与战斗的玩家，都可获得个人积分奖励。此外还有机会获得优胜阵营奖励和积分排名奖励。	2. Player challenge enemies in 1v1 battle on the battlefield. If successful, player can obtain a lot of points.<br />6. Each single player who joins the event will receive individual rewards, and also has chances to obtain team rewards and ranking rewards. 
周一二三四五六日	Mon/Tue/Wed/Thu/Fri/Sat/Sun
周一三五日	Mon/Wed/Fri/Sun
周三	Wednesday
周日	Sunday
周一二四五六	Mon/Tue/Wed/Thu/Fri/Sat
周二四六	Tue/Thu/Sat
周一二四五六	Mon/Tue/Thu/Fri/Sat
藏宝图（上）	Treasure Map(Part I)
藏宝图（下）	Treasure Map(Part II)
魔晶矿套餐	Magical Crystal Reward
海楼石套餐	Kairoseki Reward
冥界装备套餐	Inferno Gear Reward
初级经验书	Primary EXP Book
中级经验书	Medium EXP Book
高级经验书	Advanced EXP Book
超级经验书	Super EXP Book
翠绿经验瓶	Green EXP Potion
古铜经验瓶	Bronze EXP Potion
紫晶经验瓶	Crystal EXP Potion
招募令	Recruit Proof
高级招募令	Advanced Recruit Proof
高级招募令碎片	Advanced Recruit Proof Fragments
初级魔晶	Primary Magical Crystal
瓦尔波合金	Wapometal
2级钓竿	Fishing Pole Lv2
3级钓竿	Fishing Pole Lv3
4级钓竿	Fishing Pole Lv4
5级钓竿	Fishing Pole Lv5
行动力药水	Vitality Potion
限时招募令	Time-Limit Recruit Proof
中级魔晶	Medium Magical Crystal
高级魔晶	Advanced Magical Crystal
变身卡	Transform Card
入场券	Entrance Ticket
海楼石小	Small Kairoseki
海楼石中	Large Kairoseki
海楼石大	Super Kairoseki
深海结晶	Deep Sea Crystal
重铸保护符	Protection Talisman
冥王设计图纸1	Pluton Blueprints 1
冥王设计图纸2	Pluton Blueprints 2
冥王设计图纸3	Pluton Blueprints 3
波塞冬吊坠	Poseidon Necklace
迷你海兽	Mini Sea Beasts
三叉戟	Trident
天王解封材料1	天王解封材料1
天王解封材料2	天王解封材料2
天王解封材料3	天王解封材料3
亚当枝干	Adam Trunk
夏娃根茎	Eve Rhizome
恶魔果实树叶	Devil Fruit Leaves
海楼石零件	Kairoseki Accessory
创造者之锤	Hammer of Creators
封印印记	Seal Marks
入场券碎片	Entrance Ticket Fragments
生命卡颗粒	Vivre Cards Particle
东海重置石	Pirates Token 
草帽重置石	Straw Hat
巴洛克重置石	Baroque Works Badge
CP9重置石	CP9 Six Powers
超新星重置石	Eleven Supernovas Badge 
海军本部重置石	Marines Badge
改名卡	Name Change Card
1级宝石箱	Random Gem Chest Lv1
2级宝石箱	Random Gem Chest Lv2
3级宝石箱	Random Gem Chest Lv3
4级宝石箱	Random Gem Chest Lv4
5级宝石箱	Random Gem Chest Lv5
6级宝石箱	Random Gem Chest Lv6
7级宝石箱	Random Gem Chest Lv7
8级宝石箱	Random Gem Chest Lv8
9级宝石箱	Random Gem Chest Lv9
10级宝石箱	Random Gem Chest Lv10
11级宝石箱	Random Gem Chest Lv11
12级宝石箱	Random Gem Chest Lv12
13级宝石箱	Random Gem Chest Lv13
14级宝石箱	Random Gem Chest Lv14
15级宝石箱	Random Gem Chest Lv15
16级宝石箱	Random Gem Chest Lv16
17级宝石箱	Random Gem Chest Lv17
18级宝石箱	Random Gem Chest Lv18
19级宝石箱	Random Gem Chest Lv19
20级宝石箱	Random Gem Chest Lv20
5级新手礼包	Lv5 Reward Gift Pack
10级新手礼包	Lv10 Reward Gift Pack
15级新手礼包	Lv15 Reward Gift Pack
20级新手礼包	Lv20 Reward Gift Pack
25级新手礼包	Lv25 Reward Gift Pack
30级新手礼包	Lv30 Reward Gift Pack
35级新手礼包	Lv35 Reward Gift Pack
40级新手礼包	Lv40 Reward Gift Pack
少量点券	Few coupons
一小包金属	A Small Bag of Metal
大袋金属	A Large Bag of Metal
小箱金属	Small Metal Box
中箱金属	Medium Metal Box
大箱金属	Large Metal Box
金属	Metal
废弃的箱子	Abandoned Chest
沉重的箱子	Heavy Chest
海军的箱子	Marine Chest
绿色材料箱	Green Material Chest
蓝色材料箱	Blue Material Chest
紫色材料箱	Purple Material Chest
橙色材料箱	Orange Material Chest
5000贝利	5000 Beli
蓝色海贼礼包	Blue Pirate Giftpack
紫色海贼礼包	Purple Pirate Giftpack
橙色海贼礼包	Orange Pirate Giftpack
源钻福袋	Amazing Diamond Lucky Bag
宝钻福袋	Splendid Diamond Lucky Bag
酒馆积分	Tavern Point
1级攻击宝石箱	ATK Gem Chest Lv1
1级防御宝石箱	DEF Gem Chest Lv1
村长的心意	Mayor's Gift
1级生命宝石箱	HP Gem Chest Lv1
1级技力宝石箱	Skill Power Gem Chest Lv1
1级抵抗宝石箱	Resist Gem Chest Lv1
1级暴击宝石箱	Crit Hit Chest Lv1
开服战力排名第1宝箱	BP Ranking No. 1 Chest
开服战力排名第2~5宝箱	BP Ranking No. 2-5 Chest
开服战力排名第6~10宝箱	BP Ranking No. 6-10 Chest
开服竞技场排名第1宝箱	Arena Ranking No. 1 Chest
开服竞技场排名第2~3宝箱	Arena Ranking No. 2-3 Chest
开服竞技场排名第4~6宝箱	Arena Ranking No. 4-6 Chest
开服海贼团排名第1团长宝箱	No.1 Pirates [Captain Chest]
开服海贼团排名第1团员宝箱	No.1 Pirates [Members Chest]
开服海贼团排名第2团长宝箱	No.2 Pirates [Captain Chest]
开服海贼团排名第2团员宝箱	No.2 Pirates [Members Chest]
开服海贼团排名第3团长宝箱	No.3 Pirates [Captain Chest]
开服海贼团排名第3团员宝箱	No.3 Pirates [Members Chest]
2级海贼团团长宝箱	Lv2 Pirates [Captain Chest]
2级海贼团团员宝箱	Lv2 Pirates [Members Chest]
传说海贼宝箱	Legendary Pirates Chest
史诗海贼宝箱	Epic Pirates Chest
英雄海贼宝箱	Heroic Pirates Chest
精英海贼宝箱	Elite Pirates Chest
合服海贼团排名第1团长宝箱	Server Merge No. 1 Pirates [Captain Chest]
合服海贼团排名第1团员宝箱	Server Merge No. 1 Pirates [Members Chest]
合服海贼团排名第2团长宝箱	Server Merge No. 2 Pirates [Captain Chest]
合服海贼团排名第2团员宝箱	Server Merge No. 2 Pirates [Members Chest]
合服海贼团排名第3团长宝箱	Server Merge No. 3 Pirates [Captain Chest]
合服海贼团排名第3团员宝箱	Server Merge No. 3 Pirates [Members Chest]
合服海贼团排名第4~5团长宝箱	Server Merge No. 4~5 Pirates [Captain Chest]
合服海贼团排名第4~5团员宝箱	Server Merge No. 4~5 Pirates [Members Chest]
潘多拉魔盒I	Pandora’s Box I
潘多拉魔盒II	Pandora’s Box II
潘多拉魔盒III	Pandora’s Box III
黄金猎手	Gold Hunter
白银猎手	Silver Hunter
黄铜猎手	Bronze Hunter
绿色船件箱	Green Ship Part Chest
蓝色船件箱	Blue Ship Part Chest
紫色船件箱	Purple Ship Part Chest
绿色贝壳袋	Green Dial Bag
蓝色贝壳袋	Blue Dial Bag
紫色贝壳袋	Purple Dial Bag
橙色贝壳袋	Orange Dial Bag
红色贝壳袋	Red Dial Bag
女帝的伙伴	Partner of Hancock
女帝的追随者	Follower of Hancock
女帝的粉丝	Fan of Hancock
S级船员宝箱A	S-Crew Chest A
S级船员宝箱B	S-Crew Chest B
SS级船员宝箱	SS-Crew Chest
古代兵器材料箱	Ancient Weapons Material Chest
招募返利礼包（高级船员）	Recruit Rebate Pack (Advanced Crew)
招募返利礼包（稀有船员）	Recruit Rebate Pack (Rare Crew)
随机高级船员碎片	Random Advanced Crew Fragments
娜美的馈赠	Nami’s Offering
娜美的礼物1	Nami’s Gift 1
娜美的礼物2	Nami’s Gift 2
娜美的礼物3	Nami’s Gift 3
娜美的礼物4	Nami’s Gift 4
绿色生命卡碎片箱	Green Vivre Cards Frags Chest
蓝色生命卡碎片箱	Blue Vivre Cards Frags Chest
紫色生命卡碎片箱	Purple Vivre Cards Frags Chest
橙色生命卡碎片箱	Orange Vivre Cards Frags Chest
红色生命卡碎片箱	Red Vivre Cards Frags Chest
乌索普生命卡包	乌索普生命卡包
娜美生命卡包	娜美生命卡包
亚尔丽塔生命卡包	亚尔丽塔生命卡包
卡巴吉生命卡包	卡巴吉生命卡包
摩奇生命卡包	摩奇生命卡包
赞高生命卡包	赞高生命卡包
山姆生命卡包	山姆生命卡包
布治生命卡包	布治生命卡包
阿金生命卡包	阿金生命卡包
Mr.4生命卡包	Mr.4生命卡包
Mr.5生命卡包	Mr.5生命卡包
克比生命卡包	克比生命卡包
贝鲁梅伯生命卡包	贝鲁梅伯生命卡包
克洛生命卡包	克洛生命卡包
克利克生命卡包	克利克生命卡包
薇薇生命卡包	薇薇生命卡包
Mr.3生命卡包	Mr.3生命卡包
Mr.2生命卡包	Mr.2生命卡包
Mr.1生命卡包	Mr.1生命卡包
乔巴生命卡包	乔巴生命卡包
山治生命卡包	山治生命卡包
索隆生命卡包	索隆生命卡包
路飞生命卡包	路飞生命卡包
雄狮偎取生命卡包	雄狮偎取生命卡包
猫头鹰生命卡包	猫头鹰生命卡包
汉尼拔生命卡包	汉尼拔生命卡包
乔艾莉·波妮生命卡包	乔艾莉·波妮生命卡包
基拉生命卡包	基拉生命卡包
卡彭贝基生命卡包	卡彭贝基生命卡包
罗宾生命卡包	罗宾生命卡包
打碟音·阿普生命卡包	打碟音·阿普生命卡包
斯摩格生命卡包	斯摩格生命卡包
达斯琪生命卡包	达斯琪生命卡包
巴基生命卡包	巴基生命卡包
卡莉法生命卡包	卡莉法生命卡包
布鲁诺生命卡包	布鲁诺生命卡包
弗兰奇生命卡包	弗兰奇生命卡包
布鲁克生命卡包	布鲁克生命卡包
麦哲伦生命卡包	麦哲伦生命卡包
战桃丸生命卡包	战桃丸生命卡包
路飞[超新星]生命卡包	路飞[超新星]生命卡包
索隆[超新星]生命卡包	索隆[超新星]生命卡包
德雷克生命卡包	德雷克生命卡包
乌尔基生命卡包	乌尔基生命卡包
罗生命卡包	罗生命卡包
基德生命卡包	基德生命卡包
罗布·路奇生命卡包	罗布·路奇生命卡包
卡库生命卡包	卡库生命卡包
加布拉生命卡包	加布拉生命卡包
罗宾[巴洛克]生命卡包	罗宾[巴洛克]生命卡包
克洛克达尔[巴洛克]生命卡包	克洛克达尔[巴洛克]生命卡包
卡普生命卡包	卡普生命卡包
战国生命卡包	战国生命卡包
赤犬生命卡包	赤犬生命卡包
黄猿生命卡包	黄猿生命卡包
青雉生命卡包	青雉生命卡包
关联宝箱	Link Chest
随机贝壳袋	Random Dial Bag
夏日礼盒	Summer’s Giftbox
海贼佩刀	Pirate Sabre
旅行者护手	Traveler Armguard
正义大衣	Justice Coat
苍白印戒	Pale Signet Ring
防风护目镜	Wind Goggles
红宝石束带	Ruby Band
妖刀·鬼彻	Cursed Sword Kitetsu
巨人护手	Armguard of Giants
超合金战甲	Superalloy Armor
勇士之戒	Bravery Ring
战神头盔	Mars Helmet
天龙人束带	World Noble Band
海魂三叉戟	Sea Soul Trident
海魂护手	Sea Soul Bracelet
海魂骨铠	Sea Soul Armor
海魂指环	Sea Soul Ring
海魂面甲	Sea Soul Mask
海魂束带	Sea Soul Belt
冒险者拳套	Explorer’s Boxing Glove
冒险者戒指	Explorer’s Ring
冒险者面罩	Explorer’s Mask
冒险者匕首	Explorer's Dagger
冒险者斗篷	Explorer's Cloak
冥界召唤者	Inferno Sickle
死亡之握	Inferno Armguard
恐惧凝视	Inferno Armor
幽冥玺印	Inferno Ring
冰冷血冠	Inferno Crown
灵魂封印	Inferno Belt
真·冥界召唤者	Ultimate - Inferno Sickle
真·死亡之握	Ultimate - Inferno Armguard
真·恐惧凝视	Ultimate - Inferno Armor
真·幽冥玺印	Ultimate - Inferno Ring
真·冰冷血冠	Ultimate - Inferno Crown
真·灵魂封印	Ultimate - Inferno Belt
冒险者腰带	Explorer’s Belt
海魂三叉戟图纸	Sea Soul Trident Blueprint
海魂护手图纸	Sea Soul Bracelet Blueprint
海魂骨铠图纸	Sea Soul Armor Blueprint
海魂指环图纸	Sea Soul Ring Blueprint
海魂面甲图纸	Sea Soul Mask Blueprint
海魂束带图纸	Sea Soul Belt Blueprint
海魂石	Sea Soul Stone
玲珑心	Octarine Core
希望水晶	Crystal of Hope
海洋玉髓	Sea Chalcedony
风暴之鳞	Storm Scale
海底珍珠	Deep Sea Pearl
海兽之骨	Sea King's Bone
海兽之牙	Sea King's Tooth
海兽之角	Sea King's Horn
人鱼之泪	Mermaid's Tears
海魂玺印图纸	Sea Soul Seal Blueprint
海贼证明	Pirate Certificate
海王水晶	Sea King Crystal
电话虫	Den Den Mushi
医疗包	Medical Kit
金朗姆酒	Gold Rum
美味甜食	Dessert
爱心便当	Love Bento
黄金钟	Golden Bell
生命精元	Vitality Essence
灵魂精华	Soul Crystal
霸气结晶	Haki Crystal
人造果实	Artificial Devil Fruit
巴基弹	Buggy Ball
船长帽	Captain Tricorne
稻草人	Straw Voodoo Doll
战舰炮	Warship Cannon
厨师刀	Kitchen Knife
蜡烛拳套	Wax Boxing Gloves
空岛威霸	Skypiea Waver
可乐燃料	Cola Fuel
超级大雪茄	Super Cigar
海楼石手铐	Kairoseki Handcuff
冥界召唤者图纸	Inferno Sickle Blueprint
死亡之握图纸	Inferno Armguard Blueprint
恐惧凝视图纸	Inferno Armor Blueprint
幽冥玺印图纸	Inferno Ring Blueprint
冰冷血冠图纸	Inferno Crown Blueprint
灵魂封印图纸	Inferno Belt Blueprint
九幽晶石	Dark Stone
九魂灵核	Dark Core
魔焰黑晶	Infernal Crystal
暗殿血石	Infernal Bloodstone
千年琥珀	1000Y Amber
古兽利牙	Beast’s Tooth
幻彩珍珠	Dazzling Pearl
幽冥之眼	Infernal Eye
风蚀之骨	Infernal Bone
鲛人之泪	Mermaid’s Tears
寒月幽兰	Shadow Orchids
星之碎片	Iron Meteorite Piece
碎魂幽风	Soul Element
星耀之水	Divine Potion
恶灵武装	Impure Armor Fragments
1级生命宝石	HP Gem Lv1
2级生命宝石	HP Gem Lv2
3级生命宝石	HP Gem Lv3
4级生命宝石	HP Gem Lv4
5级生命宝石	HP Gem Lv5
6级生命宝石	HP Gem Lv6
7级生命宝石	HP Gem Lv7
8级生命宝石	HP Gem Lv8
9级生命宝石	HP Gem Lv9
10级生命宝石	HP Gem Lv10
11级生命宝石	HP Gem Lv11
12级生命宝石	HP Gem Lv12
13级生命宝石	HP Gem Lv13
14级生命宝石	HP Gem Lv14
15级生命宝石	HP Gem Lv15
16级生命宝石	HP Gem Lv16
17级生命宝石	HP Gem Lv17
18级生命宝石	HP Gem Lv18
19级生命宝石	HP Gem Lv19
20级生命宝石	HP Gem Lv20
1级攻击宝石	ATK Gem Lv1
2级攻击宝石	ATK Gem Lv2
3级攻击宝石	ATK Gem Lv3
4级攻击宝石	ATK Gem Lv4
5级攻击宝石	ATK Gem Lv5
6级攻击宝石	ATK Gem Lv6
7级攻击宝石	ATK Gem Lv7
8级攻击宝石	ATK Gem Lv8
9级攻击宝石	ATK Gem Lv9
10级攻击宝石	ATK Gem Lv10
11级攻击宝石	ATK Gem Lv11
12级攻击宝石	ATK Gem Lv12
13级攻击宝石	ATK Gem Lv13
14级攻击宝石	ATK Gem Lv14
15级攻击宝石	ATK Gem Lv15
16级攻击宝石	ATK Gem Lv16
17级攻击宝石	ATK Gem Lv17
18级攻击宝石	ATK Gem Lv18
19级攻击宝石	ATK Gem Lv19
20级攻击宝石	ATK Gem Lv20
1级防御宝石	DEF Gem Lv1
2级防御宝石	DEF Gem Lv2
3级防御宝石	DEF Gem Lv3
4级防御宝石	DEF Gem Lv4
5级防御宝石	DEF Gem Lv5
6级防御宝石	DEF Gem Lv6
7级防御宝石	DEF Gem Lv7
8级防御宝石	DEF Gem Lv8
9级防御宝石	DEF Gem Lv9
10级防御宝石	DEF Gem Lv10
11级防御宝石	DEF Gem Lv11
12级防御宝石	DEF Gem Lv12
13级防御宝石	DEF Gem Lv13
14级防御宝石	DEF Gem Lv14
15级防御宝石	DEF Gem Lv15
16级防御宝石	DEF Gem Lv16
17级防御宝石	DEF Gem Lv17
18级防御宝石	DEF Gem Lv18
19级防御宝石	DEF Gem Lv19
20级防御宝石	DEF Gem Lv20
1级技力宝石	Skill Power Gem Lv1
2级技力宝石	Skill Power Gem Lv2
3级技力宝石	Skill Power Gem Lv3
4级技力宝石	Skill Power Gem Lv4
5级技力宝石	Skill Power Gem Lv5
6级技力宝石	Skill Power Gem Lv6
7级技力宝石	Skill Power Gem Lv7
8级技力宝石	Skill Power Gem Lv8
9级技力宝石	Skill Power Gem Lv9
10级技力宝石	Skill Power Gem Lv10
11级技力宝石	Skill Power Gem Lv11
12级技力宝石	Skill Power Gem Lv12
13级技力宝石	Skill Power Gem Lv13
14级技力宝石	Skill Power Gem Lv14
15级技力宝石	Skill Power Gem Lv15
16级技力宝石	Skill Power Gem Lv16
17级技力宝石	Skill Power Gem Lv17
18级技力宝石	Skill Power Gem Lv18
19级技力宝石	Skill Power Gem Lv19
20级技力宝石	Skill Power Gem Lv20
1级抵抗宝石	Resist Gem Lv1
2级抵抗宝石	Resist Gem Lv2
3级抵抗宝石	Resist Gem Lv3
4级抵抗宝石	Resist Gem Lv4
5级抵抗宝石	Resist Gem Lv5
6级抵抗宝石	Resist Gem Lv6
7级抵抗宝石	Resist Gem Lv7
8级抵抗宝石	Resist Gem Lv8
9级抵抗宝石	Resist Gem Lv9
10级抵抗宝石	Resist Gem Lv10
11级抵抗宝石	Resist Gem Lv11
12级抵抗宝石	Resist Gem Lv12
13级抵抗宝石	Resist Gem Lv13
14级抵抗宝石	Resist Gem Lv14
15级抵抗宝石	Resist Gem Lv15
16级抵抗宝石	Resist Gem Lv16
17级抵抗宝石	Resist Gem Lv17
18级抵抗宝石	Resist Gem Lv18
19级抵抗宝石	Resist Gem Lv19
20级抵抗宝石	Resist Gem Lv20
1级暴击宝石	Crit Hit Gem Lv1
2级暴击宝石	Crit Hit Gem Lv2
3级暴击宝石	Crit Hit Gem Lv3
4级暴击宝石	Crit Hit Gem Lv4
5级暴击宝石	Crit Hit Gem Lv5
6级暴击宝石	Crit Hit Gem Lv6
7级暴击宝石	Crit Hit Gem Lv7
8级暴击宝石	Crit Hit Gem Lv8
9级暴击宝石	Crit Hit Gem Lv9
10级暴击宝石	Crit Hit Gem Lv10
11级暴击宝石	Crit Hit Gem Lv11
12级暴击宝石	Crit Hit Gem Lv12
13级暴击宝石	Crit Hit Gem Lv13
14级暴击宝石	Crit Hit Gem Lv14
15级暴击宝石	Crit Hit Gem Lv15
16级暴击宝石	Crit Hit Gem Lv16
17级暴击宝石	Crit Hit Gem Lv17
18级暴击宝石	Crit Hit Gem Lv18
19级暴击宝石	Crit Hit Gem Lv19
20级暴击宝石	Crit Hit Gem Lv20
小型生命贝	Small HP Dials
小型攻击贝	Small ATK Dials
小型防御贝	Small DEF Dials
小型技力贝	Small Skill Power Dials
小型抵抗贝	Small Resist Dials
小型暴伤贝	Small Crit Damage Dials
小型格挡贝	Small Block Dials
小型精准贝	Small Accuracy Dials
大型生命贝	Large HP Dials
大型攻击贝	Large ATK Dials
大型防御贝	Large DEF Dials
大型技力贝	Large Skill Power Dials
大型抵抗贝	Large Resist Dials
大型暴伤贝	Large Crit Damage Dials
大型格挡贝	Large Block Dials
大型精准贝	Large Accuracy Dials
巨大生命贝	Super HP Dials
巨大攻击贝	Super ATK Dials
巨大防御贝	Super DEF Dials
巨大技力贝	Super Skill Power Dials
巨大抵抗贝	Super Resist Dials
巨大暴伤贝	Super Crit Damage Dials
巨大格挡贝	Super Block Dials
巨大精准贝	Super Accuracy Dials
原始生命贝	Ancient HP Dials
原始攻击贝	Ancient ATK Dials
原始防御贝	Ancient DEF Dials
原始技力贝	Ancient Skill Power Dials
原始抵抗贝	Ancient Resist Dials
原始暴伤贝	Ancient Crit Damage Dials
原始格挡贝	Ancient Block Dials
原始精准贝	Ancient Accuracy Dials
至尊生命贝	Ultimate HP Dials
至尊攻击贝	Ultimate ATK Dials
至尊防御贝	Ultimate DEF Dials
至尊技力贝	Ultimate Skill Power Dials
至尊抵抗贝	Ultimate Resist Dials
至尊暴伤贝	Ultimate Crit Damage Dials
至尊格挡贝	Ultimate Block Dials
至尊精准贝	Ultimate Accuracy Dials
闪灵船首像	Wraith Figurehead
强化木船体	Reinforced Wooden Hull
巴尔干炮	Machine Cannon
三角帆	Triangular Sail
测绘室	Surveyor's Room
小型修理木	Small Plank
木质龙骨	Wooden Keel
白木马一号	Shiro Mokuba I
探测器	Detector
主桅杆	Main Mast
红龙船首像	Red Dragon Figurehead
树脂复合船体	Resin-Reinforced Hull
强力冷冻炮	Cryo Cannon
巨型帆	Large Sail
武器研究室	Armament Research Room
精灵修理木	Elven Plank
钢筋龙骨	Steel Keel
迷你梅利二号	Mini Merry II
照明弹	Flare
瞭望塔	Crows Nest
东风之神船首	God of Wind Figurehead
合金装甲船体	Aluminum Alloy Hull
高能电磁炮	Electromagnetic Gun
精灵帆	Elven Sail
士兵船坞	Military Dock
亚当枝干	Adam Wood
合金龙骨	Aluminum Alloy Keel
鲨鱼三号	Shark Submerge III
潜望镜	Periscope
指挥室	Commander's Room
可以看得出这是一张藏宝图，可惜的是只有半张……	It's obviously a treasure map, yet it's only a half of the whole map…
下列价值800钻石的魔晶矿任选其一<br /><font color='#800080'>初级魔晶*80</font><br /><font color='#FFA500'>中级魔晶*40</font><br /><font color='#FF0000'>高级魔晶*27</font>	Can only choose one from the listing Magical Crystal rewards (Worth 800 Diamond)<br /><font color='#800080'>Primary Magical Crystal*80</font><br /><font color='#FFA500'>Medium Magical Crystal*40</font><br /><font color='#FF0000'>Advanced Magical Crystal*27</font>
